Date,Open,High,Low,Close,Volume,Currency,Source,Symbol
2020-02-29,226.94,232.87,217.43,217.52,16338825,USD,Investing.com,ETHEREUM
2020-03-01,217.51,227.44,213.0,217.99,17166962,USD,Investing.com,ETHEREUM
2020-03-02,217.96,234.24,216.23,231.87,18116026,USD,Investing.com,ETHEREUM
2020-03-03,231.9,232.37,220.34,223.94,18477172,USD,Investing.com,ETHEREUM
2020-03-04,223.94,228.66,220.74,224.38,14646140,USD,Investing.com,ETHEREUM
2020-03-05,224.36,233.96,224.34,228.45,17815636,USD,Investing.com,ETHEREUM
2020-03-06,228.46,244.98,227.71,244.9,17743312,USD,Investing.com,ETHEREUM
2020-03-07,244.87,251.55,236.87,237.32,16902644,USD,Investing.com,ETHEREUM
2020-03-08,237.3,237.3,196.71,199.16,24757180,USD,Investing.com,ETHEREUM
2020-03-09,199.21,208.23,190.73,202.85,30273912,USD,Investing.com,ETHEREUM
2020-03-10,202.88,205.62,196.17,200.56,21865572,USD,Investing.com,ETHEREUM
2020-03-11,200.61,202.96,182.15,194.58,21262344,USD,Investing.com,ETHEREUM
2020-03-12,194.57,195.4,102.83,107.9,53514380,USD,Investing.com,ETHEREUM
2020-03-13,107.87,138.86,88.5,133.99,60704392,USD,Investing.com,ETHEREUM
2020-03-14,134.02,134.58,121.27,122.69,26826252,USD,Investing.com,ETHEREUM
2020-03-15,122.67,132.13,120.93,124.35,26235536,USD,Investing.com,ETHEREUM
2020-03-16,124.35,124.38,102.44,111.02,40254372,USD,Investing.com,ETHEREUM
2020-03-17,111.06,120.6,109.67,116.06,27091726,USD,Investing.com,ETHEREUM
2020-03-18,115.95,117.91,110.16,117.77,25797324,USD,Investing.com,ETHEREUM
2020-03-19,117.76,141.05,115.59,135.43,33777820,USD,Investing.com,ETHEREUM
2020-03-20,135.43,151.85,118.07,133.32,38742944,USD,Investing.com,ETHEREUM
2020-03-21,133.32,137.33,126.01,132.58,26998564,USD,Investing.com,ETHEREUM
2020-03-22,132.59,136.86,121.37,122.41,25251048,USD,Investing.com,ETHEREUM
2020-03-23,122.46,136.93,120.2,136.02,28618180,USD,Investing.com,ETHEREUM
2020-03-24,136.0,142.9,132.67,138.62,27104316,USD,Investing.com,ETHEREUM
2020-03-25,138.59,141.88,133.06,136.07,24153698,USD,Investing.com,ETHEREUM
2020-03-26,136.08,139.22,133.69,138.38,17712876,USD,Investing.com,ETHEREUM
2020-03-27,138.38,140.99,131.09,131.74,18177444,USD,Investing.com,ETHEREUM
2020-03-28,131.74,132.68,125.48,131.03,21033408,USD,Investing.com,ETHEREUM
2020-03-29,131.02,131.74,124.84,125.24,16334624,USD,Investing.com,ETHEREUM
2020-03-30,125.24,134.72,125.02,132.15,20712136,USD,Investing.com,ETHEREUM
2020-03-31,132.15,135.14,130.54,132.86,17298092,USD,Investing.com,ETHEREUM
2020-04-01,132.88,136.56,128.93,135.66,19449392,USD,Investing.com,ETHEREUM
2020-04-02,135.65,148.91,135.26,141.3,29420448,USD,Investing.com,ETHEREUM
2020-04-03,141.29,146.46,138.01,141.14,23337360,USD,Investing.com,ETHEREUM
2020-04-04,141.13,145.71,139.36,144.01,19748176,USD,Investing.com,ETHEREUM
2020-04-05,144.03,145.26,140.84,142.58,18166464,USD,Investing.com,ETHEREUM
2020-04-06,142.58,171.24,142.55,171.06,37889212,USD,Investing.com,ETHEREUM
